translation,variable_name
Board Member,Level_Involvement_Type_Board_Member
Regularly participating in calls and workshops,Level_Involvement_Type_Calls_Workshops
Comms Community of Practice of the Impact & Learning Adv Group,Level_Involvement_Type_Community_Of_Practice
Participating in H2H Network-organized events at HNPW or elsewhere,Level_Involvement_Type_Network_Events
Other (please specify),Level_Involvement_Type_Other
Formal,Collaborated_With_Other_H2H_Member_Type_Formal
Informal,Collaborated_With_Other_H2H_Member_Type_Informal
Fund Activation,H2H_Facilitated_Collab_Type_Fund_Activation
Community of Practice,H2H_Facilitated_Collab_Type_Community_Of_Practice
Events,H2H_Facilitated_Collab_Type_Events
Webinar and Calls,H2H_Facilitated_Collab_Type_Webinars
Not Applicable,H2H_Facilitated_Collab_Type_Not_Applicable
Other,H2H_Facilitated_Collab_Type_Other
Calls or email exchanges with the core team,Network_Engagement_Type_Calls_Emails
Monthly members’ updates/general,Network_Engagement_Type_Monthly_Updates
Sharepoint,Network_Engagement_Type_Sharepoint
Community of Practice slack channel,Network_Engagement_Type_Slack
Crisis watch calls,Network_Engagement_Type_Crisis_Watch_Calls
Other,Network_Engagement_Type_Other
The process around accessing funding is unclear to you,Avoided_H2H_Fund_Reason_Type_Unclear_Process
Funds do not align with priorities,Avoided_H2H_Fund_Reason_Type_Misaligned_Priorities_Capacities
Your organization had other sources of funding,Avoided_H2H_Fund_Reason_Type_Alternate_Funding
The timeframe to submit a project proposal is too short,Avoided_H2H_Fund_Reason_Type_Submission_Timeframe_Short
The process around submitting an application is too complex,Avoided_H2H_Fund_Reason_Type_Complex_Process
The Due Diligence Assessment ,Avoided_H2H_Fund_Reason_Type_Due_Dilligence_Assessment
The amount allocated is too small,Avoided_H2H_Fund_Reason_Type_Amount_Small
The timeframe to implemented funded projects is too short,Avoided_H2H_Fund_Reason_Type_Implment_Timeframe_Short
Other,Avoided_H2H_Fund_Reason_Type_Other
Social Media,External_Network_Engagement_Type_Social_Media
Website,External_Network_Engagement_Type_Website
Public Newsletter,External_Network_Engagement_Type_Newsletter
Events,External_Network_Engagement_Type_Events
Other,External_Network_Engagement_Type_Other
Communications package,Fund_Activation_External_Enagagement_Type_Comms_Package
Brokering with stakeholders,Fund_Activation_External_Enagagement_Type_Stakeholder_Brokering
Deployment,Fund_Activation_External_Enagagement_Type_Deployment
Other,Fund_Activation_External_Enagagement_Type_Other